generation,rank_1,rank_2,swapAccepted
1367000,1,2,1
1368000,2,3,1
1369000,1,2,1
1370000,1,3,1
1371000,3,4,1
1372000,3,4,1
1373000,1,3,1
1374000,2,3,1
1375000,2,4,1
1376000,3,4,1
1377000,2,3,1
1378000,3,4,1
1379000,1,3,1
1380000,1,3,1
1381000,3,4,1
1382000,3,4,0
1383000,3,4,1
1384000,1,3,1
1385000,3,4,1
1386000,2,3,1
1387000,1,3,1
1388000,1,4,0
1389000,1,4,0
1390000,1,3,0
1391000,1,2,1
1392000,2,3,1
1393000,2,4,1
1394000,1,2,1
1395000,2,3,1
1396000,2,3,0
1397000,1,3,1
1398000,2,3,1
1399000,2,3,1
1400000,2,3,1
1401000,1,2,1
1402000,2,3,1
1403000,1,4,0
1404000,1,2,1
1405000,2,4,0
1406000,1,3,1
1407000,2,4,0
1408000,1,2,0
1409000,1,2,1
1410000,1,2,1
1411000,3,4,0
1412000,2,3,1
1413000,3,4,0
1414000,1,3,0
1415000,1,4,0
1416000,1,2,1
1417000,2,3,0
1418000,1,2,1
1419000,1,3,1
1420000,2,3,0
1421000,1,2,1
1422000,2,3,1
1423000,2,3,0
1424000,1,4,1
1425000,2,4,1
1426000,1,3,1
1427000,2,3,1
1428000,2,4,1
1429000,1,4,0
1430000,1,4,0
1431000,2,4,1
1432000,2,3,1
1433000,2,3,1
1434000,3,4,0
1435000,1,4,1
1436000,1,2,1
1437000,2,3,1
1438000,1,3,1
1439000,1,3,0
1440000,1,3,1
1441000,1,2,1
1442000,1,4,0
1443000,1,3,1
1444000,2,4,1
1445000,1,4,1
1446000,2,4,1
1447000,1,3,1
1448000,1,2,0
1449000,1,4,0
1450000,1,4,0
1451000,1,4,0
1452000,3,4,1
1453000,1,4,0
1454000,1,2,1
1455000,3,4,1
1456000,2,3,0
1457000,2,3,0
1458000,1,4,1
1459000,2,4,0
1460000,2,3,1
1461000,1,4,1
1462000,3,4,1
1463000,2,4,1
1464000,2,3,1
1465000,1,3,1
1466000,2,3,0
1467000,2,3,0
1468000,3,4,0
1469000,1,2,1
1470000,3,4,1
1471000,1,2,1
1472000,1,3,0
1473000,1,2,1
1474000,3,4,1
1475000,3,4,0
1476000,2,3,1
1477000,2,3,0
1478000,3,4,1
1479000,3,4,1
1480000,1,3,1
1481000,1,2,1
1482000,1,2,1
1483000,3,4,0
1484000,2,4,0
1485000,1,2,1
1486000,2,3,1
1487000,1,2,1
1488000,1,4,0
1489000,1,3,1
1490000,1,2,1
1491000,1,2,1
