"nodeShifted" "numTaxa" "from" "to" "numNontaxa" "cladeDiv_mean" "noncladeDiv_mean" "factor" "incDec" "tree"
"27" 11716 66 "Onychogalea_lunata_MACROPODIDAE_DIPROTODONTIA" "Onychogalea_fraenata_MACROPODIDAE_DIPROTODONTIA" 5845 0.40060279241692 0.142975083759061 2.80190633139973 "upShift" 3
"28" 9429 62 "Ctenomys_erikacuellarae_CTENOMYIDAE_RODENTIA" "Ctenomys_lessai_CTENOMYIDAE_RODENTIA" 5849 0.632949697238454 0.142850215118869 4.43086275167147 "upShift" 3
"29" 4536 1 "Desmodillus_auricularis_MURIDAE_RODENTIA" "Desmodillus_auricularis_MURIDAE_RODENTIA" 5910 0.158767696472908 0.144006130182334 1.10250651324275 "upShift" 3
"114" 5919 5419 "Nesophontes_micrus_NESOPHONTIDAE_EULIPOTYPHLA" "Cynocephalus_volans_CYNOCEPHALIDAE_DERMOPTERA" 492 0.138425341756501 0.0842569381636313 1.64289546681214 "upShift" 4
"213" 11316 22 "Ptilocercus_lowii_PTILOCERCIDAE_SCANDENTIA" "Cynocephalus_volans_CYNOCEPHALIDAE_DERMOPTERA" 5889 0.044308490222087 0.132343276091408 0.334799708233637 "downShift" 4
"33" 11461 362 "Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA" "Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 5549 0.153156554166379 0.130070460279415 1.17748913809769 "upShift" 4
"43" 7089 1287 "Rhinopoma_muscatellum_RHINOPOMATIDAE_CHIROPTERA" "Saccolaimus_peli_EMBALLONURIDAE_CHIROPTERA" 4624 0.137873728446386 0.129457717495001 1.06500972761018 "upShift" 4
"53" 10850 9 "Pedetes_surdaster_PEDETIDAE_RODENTIA" "Anomalurus_beecrofti_ANOMALURIDAE_RODENTIA" 5902 0.0526260611440735 0.131863405534543 0.399095267794276 "downShift" 4
"63" 9252 1599 "Typhlomys_cinereus_PLATACANTHOMYIDAE_RODENTIA" "Calomyscus_urartensis_CALOMYSCIDAE_RODENTIA" 4312 0.161627627759969 0.120729790812911 1.33875513799601 "upShift" 4
"73" 7702 605 "Nyctiellus_lepidus_NATALIDAE_CHIROPTERA" "Cistugo_lesueuri_VESPERTILIONIDAE_CHIROPTERA" 5306 0.15493260626594 0.128778141948849 1.20309707782148 "upShift" 4
"83" 11004 313 "Cacajao_calvus_PITHECIIDAE_PRIMATES" "Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES" 5598 0.216948199043009 0.128915991321869 1.68286491705553 "upShift" 4
"93" 10118 726 "Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA" "Chibchanomys_orcesi_CRICETIDAE_RODENTIA" 5185 0.187884319508659 0.124768578229417 1.50586247094351 "upShift" 4
"103" 9489 630 "Berylmys_bowersi_MURIDAE_RODENTIA" "Phloeomys_cumingi_MURIDAE_RODENTIA" 5281 0.174512360557111 0.12698900740188 1.37423202312964 "upShift" 4
"115" 7281 194 "Ptenochirus_jagori_PTEROPODIDAE_CHIROPTERA" "Styloctenium_mindorensis_PTEROPODIDAE_CHIROPTERA" 5717 0.167994820005981 0.130394124600975 1.28836188378939 "upShift" 4
"123" 7102 180 "Rhinolophus_inops_RHINOLOPHIDAE_CHIROPTERA" "Hipposideros_cyclops_HIPPOSIDERIDAE_CHIROPTERA" 5731 0.168629676091997 0.130520989185103 1.29197362925934 "upShift" 4
"133" 6547 215 "Okapia_johnstoni_GIRAFFIDAE_CETARTIODACTYLA" "Boselaphus_tragocamelus_BOVIDAE_CETARTIODACTYLA" 5696 0.233025063939776 0.128981841771171 1.80665015121423 "upShift" 4
"143" 7535 92 "Sturnira_bidens_PHYLLOSTOMIDAE_CHIROPTERA" "Uroderma_bakeri_PHYLLOSTOMIDAE_CHIROPTERA" 5819 0.208486895162043 0.130608897910925 1.59626869605952 "upShift" 4
"153" 6002 207 "Suncus_madagascariensis_SORICIDAE_EULIPOTYPHLA" "Suncus_dayi_SORICIDAE_EULIPOTYPHLA" 5704 0.276147401593173 0.128648899413685 2.14651973589911 "upShift" 4
"163" 9669 196 "Chiruromys_forbesi_MURIDAE_RODENTIA" "Apomys_hylocetes_MURIDAE_RODENTIA" 5715 0.203495825023748 0.129687401916143 1.56912562066228 "upShift" 4
"173" 4402 1 "Ochrotomys_nuttalli_CRICETIDAE_RODENTIA" "Ochrotomys_nuttalli_CRICETIDAE_RODENTIA" 5910 0.173583376465786 0.131410957406083 1.3209201111699 "upShift" 4
"183" 9495 104 "Berylmys_bowersi_MURIDAE_RODENTIA" "Srilankamys_ohiensis_MURIDAE_RODENTIA" 5807 0.263189349646992 0.130122135409549 2.0226331885703 "upShift" 4
"193" 9372 48 "Gerbillus_nancillus_MURIDAE_RODENTIA" "Gerbillus_jamesi_MURIDAE_RODENTIA" 5863 0.310916495890089 0.130828687737129 2.37651620044379 "upShift" 4
"203" 7410 64 "Pteropus_cognatus_PTEROPODIDAE_CHIROPTERA" "Pteropus_dasymallus_PTEROPODIDAE_CHIROPTERA" 5847 0.415674392911943 0.130435983408084 3.18680767416348 "upShift" 4
"214" 9006 63 "Ctenomys_steinbachi_CTENOMYIDAE_RODENTIA" "Ctenomys_tulduco_CTENOMYIDAE_RODENTIA" 5848 0.592523334617466 0.130344022813902 4.54584200967494 "upShift" 4
"116" 11461 362 "Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA" "Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 5549 0.163721902231423 0.141578385273426 1.15640464407919 "upShift" 5
"215" 5919 5419 "Neurotrichus_gibbsii_TALPIDAE_EULIPOTYPHLA" "Castor_canadensis_CASTORIDAE_RODENTIA" 492 0.150608680644522 0.0911457588145154 1.65239373288905 "upShift" 5
"34" 8378 135 "Nycticebus_coucang_LORISIDAE_PRIMATES" "Allocebus_trichotis_CHEIROGALEIDAE_PRIMATES" 5776 0.072813700413823 0.144582148257751 0.503614735921727 "downShift" 5
"44" 6412 1287 "Rhinopoma_muscatellum_RHINOPOMATIDAE_CHIROPTERA" "Cistugo_lesueuri_VESPERTILIONIDAE_CHIROPTERA" 4624 0.135429371683405 0.145235534933699 0.932480964422581 "downShift" 5
"54" 9273 298 "Trichys_fasciculata_HYSTRICIDAE_RODENTIA" "Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA" 5613 0.161385547090729 0.142088492378178 1.13581011656588 "upShift" 5
