generation,N_shifts,logPrior,logLik,eventRate,acceptRate
366000,13,57.8287,-15895.2,10.3342,0.296
367000,19,86.694,-15857.8,6.17889,0.3105
368000,21,93.1855,-15867.6,10.8665,0.344
369000,24,100.106,-15867.6,15.5961,0.334
370000,11,64.2591,-15941.6,2.16135,0.306636
371000,11,54.1703,-15944.1,5.36437,0.329
372000,12,55.544,-15936.2,6.88212,0.327
373000,21,83.6535,-15858.6,13.1376,0.32675
374000,19,76.4514,-15865.1,10.4269,0.332
375000,20,83.4486,-15855.8,10.4166,0.301
376000,19,75.649,-15858.2,10.4846,0.302
377000,19,72.7438,-15857.9,12.1347,0.278
378000,16,61.6535,-15854,7.47085,0.278
379000,17,68.4606,-15854.1,7.86051,0.308
380000,9,52.058,-15951.9,3.7582,0.319625
381000,9,45.5256,-15948.9,4.05072,0.287
382000,10,44.5532,-15947.7,7.79147,0.299
383000,12,59.6475,-15952.7,7.63058,0.318
384000,13,63.2638,-15954.1,9.714,0.336
385000,13,64.4122,-15901.9,6.49962,0.309158
386000,12,59.7253,-15902.9,7.49499,0.272
387000,12,56.7625,-15945.9,4.79394,0.305333
388000,12,53.2324,-15945.1,8.03352,0.293
389000,13,62.1643,-15942.9,7.2469,0.311
390000,20,90.146,-15862,10.0981,0.305182
391000,18,75.6362,-15863.5,7.58265,0.322
392000,17,74.9483,-15860.1,4.87357,0.295
393000,13,64.3783,-15901.4,6.72933,0.291143
394000,13,64.1945,-15904.6,6.75111,0.269
395000,14,70.7248,-15899.1,8.02974,0.294
396000,13,60.5993,-15904.8,8.54475,0.265
397000,13,62.9549,-15920,7.25052,0.264
398000,10,47.2853,-15945.8,4.79228,0.306333
399000,11,55.9039,-15940.4,4.9776,0.295
400000,9,42.2699,-15936.7,7.67715,0.284
401000,19,88.671,-15847.4,9.60198,0.338778
402000,20,80.8855,-15841.2,16.2632,0.305
403000,19,88.9992,-15851,7.23878,0.317
404000,20,94.1245,-15852.3,8.98702,0.323
405000,20,92.5988,-15856.8,11.3063,0.35
406000,19,87.5261,-15853,11.3995,0.296
407000,20,91.7943,-15847.1,10.1701,0.331
408000,18,85.0287,-15850.8,7.3143,0.305
409000,11,54.7805,-15941.3,6.68841,0.300222
410000,11,53.4374,-15932.7,5.8288,0.305
411000,7,35.2169,-15974.7,2.91137,0.278316
412000,12,68.3491,-15907.4,4.9938,0.328267
413000,13,71.3424,-15906.9,6.29128,0.301
414000,12,59.9389,-15914.9,6.97271,0.339
415000,12,63.9706,-15904.7,6.42821,0.314
416000,13,67.0911,-15908.4,7.28701,0.285
417000,13,69.7728,-15906.8,6.88363,0.318
418000,15,73.436,-15902.4,11.5149,0.357
419000,10,54.1154,-15950.6,3.89551,0.307667
420000,9,44.6452,-15950.8,5.58139,0.328
421000,9,47.2013,-15947.5,4.94583,0.248
422000,9,46.9245,-15947.2,6.18116,0.291
423000,9,49.3379,-15945.6,4.38388,0.282
424000,18,79.8842,-15856,8.77886,0.305188
425000,19,86.4449,-15863.4,7.21784,0.34
426000,21,95.9765,-15862.9,13.6753,0.315
427000,20,88.9611,-15858.2,13.9666,0.34
428000,23,111.22,-15849.2,11.9941,0.334
429000,20,93.1391,-15847.1,9.61765,0.354
430000,21,94.3943,-15844,15.766,0.318
431000,15,60.5257,-15895.9,15.9478,0.326615
432000,17,80.7282,-15898.4,7.32487,0.349
433000,21,100.912,-15846.9,9.75274,0.322333
434000,25,118.368,-15844.2,11.0676,0.356
435000,27,119.595,-15851.9,14.4355,0.337
436000,25,109.013,-15848.2,15.3166,0.351
437000,25,103.078,-15849,13.0625,0.341
438000,27,125.536,-15859.6,8.80164,0.362
439000,29,129.164,-15852.3,10.5466,0.375
440000,27,114.355,-15852.2,19.0461,0.375
441000,26,116.328,-15863.1,16.765,0.352
442000,25,116.133,-15849.1,9.12133,0.362
443000,25,114.25,-15848.8,16.7396,0.359
444000,19,78.7952,-15847.6,13.1728,0.358
445000,18,69.047,-15851.2,11.3895,0.309
446000,17,71.9496,-15850.5,4.75376,0.318
447000,18,78.4948,-15856,7.62568,0.274
448000,18,73.7181,-15848.6,8.5715,0.283
449000,19,80.5038,-15838.8,8.95784,0.259
450000,21,92.7293,-15838.5,9.21378,0.283
451000,22,95.8236,-15841,9.80225,0.31
452000,22,96.558,-15851.9,9.65193,0.335
453000,22,85.6518,-15841.4,13.9908,0.347
454000,11,50.4976,-15937.5,7.8812,0.292226
455000,11,49.3639,-15933.7,9.39943,0.323
456000,11,53.5957,-15938.1,5.38841,0.318
457000,11,52.6032,-15932.7,5.13357,0.299
458000,11,55.3997,-15931.9,5.8121,0.28
459000,20,83.3178,-15849.5,12.691,0.346333
460000,13,65.9159,-15893.1,6.02421,0.314536
